type,obs,id,SMean,Sstdev,A,B,C,"A:absolute(individual measurement a,b,c -mean)/mean","B:absolute(individual measurement a,b,c -mean)/mean","C:absolute(individual measurement a,b,c -mean)/mean",sum(abc)/3,,,,
UJ,15,14,58.28666667,0.735821536,57.46,58.53,58.87,0.014182775,0.004174768,0.010008006,0.009455183,,,,
UJ,16,81,62.3,1.747598352,63.15,60.29,63.46,0.01364366,0.032263242,0.018619583,0.021508828,,,,
UJ,17,3,59.07333333,0.23797759,58.86,59.03,59.33,0.003611331,0.000733552,0.004344882,0.002896588,,,,
UJ,18,92,61.11333333,1.153357418,61.35,59.86,62.13,0.003872586,0.020508345,0.016635759,0.01367223,,,,
UJ,19,84,60.01666667,1.155782563,58.8,60.15,61.1,0.020272147,0.002221605,0.018050542,0.013514764,,,,
UJ,20,73,59.42666667,0.539845657,59.51,58.85,59.92,0.001402289,0.009703837,0.008301548,0.006469224,,,,
UJ,21,97,62.92333333,0.707271754,62.52,62.51,63.74,0.006409917,0.00656884,0.012978757,0.008652505,,,,
UJ,22,82,63.45666667,0.880473358,62.44,63.96,63.97,0.016021432,0.007931922,0.00808951,0.010680955,,,,
UJ,23,25,60.45,0.508625599,59.98,60.99,60.38,0.007775021,0.008933002,0.001157982,0.005955335,,,,
UJ,24,93,60.58333333,0.710234703,59.79,61.16,60.8,0.013094911,0.009518569,0.003576341,0.00872994,,,,
UJ,25,13,58.19333333,0.565184336,57.7,58.07,58.81,0.008477489,0.002119372,0.010596861,0.007064574,,,,
UJ,26,44,56.73,1.334016492,55.19,57.47,57.53,0.027146131,0.013044245,0.014101886,0.018097421,,,,
UJ,27,29,59.97,0.990605875,59,60.98,59.93,0.016174754,0.016841754,0.000667,0.011227836,,,,
UJ,28,94,62.35,0.56,62.59,62.75,61.71,0.003849238,0.006415397,0.010264635,0.00684309,,,,
UJ,29,90,62.30333333,0.453688586,62.37,61.82,62.72,0.001070034,0.007757744,0.006687711,0.00517183,,,,
UJ,30,28,66.76666667,0.904230796,65.76,67.51,67.03,0.015077384,0.0111333,0.003944084,0.010051589,,,,
UJ,31,35,63.52,0.612862138,63.26,64.22,63.08,0.004093199,0.011020151,0.006926952,0.007346767,,,,
UJ,32,8,64.21333333,1.098650688,63.17,65.36,64.11,0.016247924,0.017857143,0.001609219,0.011904762,,,,
UJ,33,40,65.08666667,0.989663242,64.23,66.17,64.86,0.013161938,0.016644474,0.003482536,0.011096316,,,,
